Date,Open,High,Low,Close,Adj. Close,Change,Volume,MA_20,MACD,MACD_Signal,RSI,EMA_20,OBV,One_Day_Reversal,Max_Return_20D,Momentum_5D,Momentum_20D,Mean_Reversal_60D,F_Cash Flow/Assets,F_Book/Price,F_Earnings/Price,F_Forecast Earnings/Price,F_Sales/Assets,F_Debt/Assets,F_Debt/Equity,F_Dividend Yield,F_Return on Assets,F_Return on Equity,Short_Term_Reversal_1month,Medium_Term_Momentum_2month_to_12month,Long_Term_Reversal_13month_to_60month
12/15/1980,0.12223,0.12223,0.12165,0.12165,0.09359,-0.0522,175884975,,0,0,,0.09359,0,,,,,,,,,,,,,,,,,,
12/16/1980,0.11326,0.11326,0.11272,0.11272,0.08672,-0.0734,105728105,,-0.000548034,-0.000109607,,0.092935714,-105728105,-0.073405278,,,,,,,,,,,,,,,,,
12/17/1980,0.11549,0.11607,0.11549,0.11549,0.08885,0.0246,86441686,,-0.000801246,-0.000247935,,0.092546599,-19286419,0.024561808,,,,,,,,,,,,,,,,,
12/18/1980,0.11888,0.11942,0.11888,0.11888,0.09146,0.0294,73449673,,-0.000782295,-0.000354807,,0.092443113,54163254,0.029375352,,,,,,,,,,,,,,,,,
12/19/1980,0.12612,0.1267,0.12612,0.12612,0.09702,0.0609,48630448,,-0.000314999,-0.000346845,,0.092879007,102793702,0.060791603,,,,,,,,,,,,,,,,,
12/22/1980,0.13228,0.13281,0.13228,0.13228,0.10176,0.0488,37363237,,0.000432825,-0.000190911,,0.093724816,140156939,0.048855906,,0.087295651,,,,,,,,,,,,,,,
12/23/1980,0.13786,0.13839,0.13786,0.13786,0.10605,0.0422,46950446,,0.001356017,0.000118474,,0.094898643,187107385,0.042158019,,0.2229012915129151,,,,,,,,,,,,,,,
12/24/1980,0.14509,0.14567,0.14509,0.14509,0.11162,0.0524,48003248,,0.002508192,0.000596418,,0.096491153,235110633,0.052522395,,0.2562746201463139,,,,,,,,,,,,,,,
12/26/1980,0.15848,0.15902,0.15848,0.15848,0.12192,0.0923,55574455,,0.004203963,0.001317927,,0.098912948,290685088,0.09227737,,0.3330417668926306,,,,,,,,,,,,,,,
12/29/1980,0.16071,0.16129,0.16071,0.16071,0.12364,0.0141,93161693,,0.005621858,0.002178713,,0.1012679054157423,383846781,0.014107612,,0.2743764172335601,,,,,,,,,,,,,,,
12/30/1980,0.15737,0.15737,0.15679,0.15679,0.12062,-0.0244,68880068,,0.006427766,0.003028524,,0.1031109620428145,314966713,-0.024425752,,0.1853380503144654,,,,,,,,,,,,,,,
12/31/1980,0.1529,0.1529,0.15237,0.15237,0.11722,-0.0282,35750435,,0.006714699,0.003765759,,0.1044546799434988,279216278,-0.028187697,,0.1053276756247052,,,,,,,,,,,,,,,
1/2/1981,0.15402,0.15513,0.15402,0.15402,0.11849,0.0108,21660821,,0.006964294,0.004405466,,0.105791377,300877099,0.010834329,,0.06154811,,,,,,,,,,,,,,,
1/5/1981,0.15121,0.15121,0.15067,0.15067,0.11591,-0.0218,35728035,,0.006874669,0.004899306,70.64372918978913,0.1067550554639525,265149064,-0.021773989,,-0.049294619,,,,,,,,,,,,,,,
1/6/1981,0.14451,0.14451,0.14397,0.14397,0.11076,-0.0445,45158445,,0.00631528,0.005182501,64.49923999324437,0.1071364787530999,219990619,-0.044431024,,-0.104173407,,,,,,,,,,,,,,,
1/7/1981,0.13839,0.13839,0.13786,0.13786,0.10605,-0.0424,55686455,,0.005429316,0.005231864,66.94127957931639,0.107033005,164304164,-0.042524377,,-0.120792572,,,,,,,,,,,,,,,
1/8/1981,0.13558,0.13558,0.13504,0.13504,0.10389,-0.0205,39827239,,0.004501005,0.005085692,63.17449194113525,0.1067336708160296,124476925,-0.020367751,,-0.113717796,,,,,,,,,,,,,,,
1/9/1981,0.14232,0.14286,0.14232,0.14232,0.10949,0.0539,21504021,,0.004169126,0.004902379,65.00749126019645,0.1069961783573601,145980946,0.053903167,,-0.075955777,,,,,,,,,,,,,,,
1/12/1981,0.14232,0.14232,0.14116,0.14116,0.1086,-0.0082,23699223,,0.003790598,0.004680023,60.45126353790614,0.1071489232757068,122281723,-0.008128596,,-0.063066172,,,,,,,,,,,,,,,
1/13/1981,0.13674,0.13674,0.13616,0.13616,0.10475,-0.0354,23049623,0.1069205,0.00314371,0.00437276,52.74261603375527,0.1069204543923061,99232100,-0.035451197,,-0.054261466,,,,,,,,,,,,,,,
1/14/1981,0.13674,0.13728,0.13674,0.13674,0.1052,0.0043,14291214,0.107501,0.002636961,0.0040256,49.161239392145255,0.1067566015930389,113523314,0.004295943,0.09227737,-0.008015087,0.1240517149268083,,,,,,,,,,,,,,
1/15/1981,0.13951,0.14062,0.13951,0.13951,0.10733,0.0203,14067214,0.1085315,0.002379799,0.00369644,45.45839508786788,0.1068112109651304,127590528,0.020247148,0.09227737,0.033111945,0.2376614391143909,,,,,,,,,,,,,,
1/16/1981,0.13893,0.13893,0.13839,0.13839,0.10647,-0.008,13395213,0.1094125,0.002082595,0.003373671,29.55808414924583,0.106778715,114195315,-0.008012671,0.09227737,-0.027582428,0.1983117613956104,,,,,,,,,,,,0.14681055668340615,,
1/19/1981,0.14674,0.14732,0.14674,0.14674,0.11289,0.0603,41574441,0.110484,0.002338146,0.003166566,37.34996469757591,0.1073607418558097,155769756,0.060298676,0.09227737,0.039502762,0.2343100809096874,,,,,,,,,,,,0.2277444649446494,,
1/20/1981,0.14286,0.14286,0.14232,0.14232,0.10949,-0.0301,30083230,0.1111075,0.002240493,0.002981351,37.018894331700494,0.1075635283457326,125686526,-0.030117814,0.09227737,0.045250597,0.1285301999587715,,,,,,,,,,,,0.27056837366347786,,
1/21/1981,0.14509,0.14621,0.14509,0.14509,0.11162,0.0195,15904015,0.1116004999999999,0.002308367,0.002846754,43.26923076923076,0.1079498589794723,141590541,0.019453831,0.09227737,0.061026616,0.096894654,,,,,,,,,,,,0.19713535972009621,,
1/22/1981,0.14674,0.1479,0.14674,0.14674,0.11289,0.0114,35548835,0.1119425,0.002436548,0.002764713,43.26923076923078,0.108420349,177139376,0.011377889,0.09227737,0.051802851,0.064497878,,,,,,,,,,,,0.15048443619872187,,
1/23/1981,0.14674,0.14732,0.14621,0.14621,0.11248,-0.0036,11222411,0.1119854999999999,0.002476502,0.002707071,45.65051990869896,0.1088069820670964,165916965,-0.003631854,0.09227737,0.056447826,0.007704712,,,,,,,,,,,,0.109375,,
1/26/1981,0.14451,0.14451,0.14397,0.14397,0.11076,-0.0153,24640024,0.1114275,0.002342374,0.002634132,50,0.108992984,141276941,-0.015291607,0.060298676,-0.018867925,-0.091535433,,,,,,,,,,,,0.060631777,,
1/27/1981,0.14397,0.14397,0.14286,0.14286,0.1099,-0.0077,23699223,0.1107404999999999,0.002141991,0.002535703,55.98755832037324,0.1090793662726118,117577718,-0.007764536,0.060298676,0.003744634,-0.111129084,,,,,,,,,,,,-0.007704712,,
1/28/1981,0.13893,0.13893,0.13839,0.13839,0.10647,-0.0313,28156828,0.110033,0.001686967,0.002365956,53.85996409335727,0.1088308551990297,89420890,-0.031210191,0.060298676,-0.046138685,-0.117310562,,,,,,,,,,,,-0.098589239,,
1/29/1981,0.13393,0.13393,0.13335,0.13335,0.10259,-0.0364,43904043,0.1093014999999999,0.001001727,0.00209311,39.11671924290221,0.1082364880372173,45516847,-0.03644219,0.060298676,-0.091239259,-0.124808053,,,,,,,,,,,,-0.138870916,,
1/30/1981,0.12723,0.12723,0.12612,0.12612,0.09702,-0.0542,46188846,0.1082279999999999,9.11096609063078e-06,0.00167631,34.084661902144035,0.1071682510812919,-671999,-0.054293791,0.060298676,-0.137446657,-0.181196725,,,,,,,,,,,,-0.149477699,,
