Date,Open,High,Low,Close,Adj. Close,Change,Volume,MA_20,MACD,MACD_Signal,RSI,EMA_20,OBV,One_Day_Reversal,Max_Return_20D,Momentum_5D,Momentum_20D,Mean_Reversal_60D,F_Cash Flow/Assets,F_Book/Price,F_Earnings/Price,F_Forecast Earnings/Price,F_Sales/Assets,F_Debt/Assets,F_Debt/Equity,F_Dividend Yield,F_Return on Assets,F_Return on Equity,Short_Term_Reversal_1month,Medium_Term_Momentum_2month_to_12month,Long_Term_Reversal_13month_to_60month
2012-05-21,36.53,36.66,33.0,34.03,33.823,-0.1099,168192700,,0.0,0.0,,33.823,0.0,,,,,,,,,,,,,,,,,,
2012-05-22,32.61,33.59,30.94,31.0,30.812,-0.089,101786600,,-0.240193732193731,-0.0480387464387462,,33.5362380952381,-101786600.0,-0.0890222629571593,,,,,,,,,,,,,,,,,
2012-05-23,31.37,32.5,31.36,32.0,31.806,0.0323,73600000,,-0.3463490069074098,-0.1077007985324789,,33.37145351473923,-28186600.0,0.032260158379852,,,,,,,,,,,,,,,,,
2012-05-24,32.95,33.21,31.77,33.03,32.829,0.0322,50237200,,-0.3439652590972386,-0.1549536906454308,,33.319791275240256,22050600.0,0.0321637426900585,,,,,,,,,,,,,,,,,
2012-05-25,32.9,32.95,31.11,31.91,31.716,-0.0339,37149800,,-0.426964143187881,-0.2093557811539209,,33.167049249026896,-15099200.0,-0.0339029516585944,,,,,,,,,,,,,,,,,
2012-05-29,31.48,31.69,28.65,28.84,28.665,-0.0962,78063400,,-0.7305106860715753,-0.3135867621374518,,32.73828265388148,-93162600.0,-0.0961975028376844,,-0.1524997782573988,,,,,,,,,,,,,,,
2012-05-30,28.695,29.55,27.86,28.19,28.019,-0.0225,57267900,,-1.0115399070081246,-0.4531773911115864,,32.28882716303562,-150430500.0,-0.0225361939647654,,-0.0906465013631053,,,,,,,,,,,,,,,
2012-05-31,28.545,29.67,26.83,29.6,29.42,0.05,111639200,,-1.108431291992506,-0.5842281712877704,,32.0156055284608,-38791300.0,0.0500017845033728,,-0.0750172923347796,,,,,,,,,,,,,,,
2012-06-01,28.892,29.15,27.39,27.72,27.552,-0.0635,41855500,,-1.320725895134203,-0.7315277160570568,,31.59050024003596,-80646800.0,-0.063494221617947,,-0.1607420268664899,,,,,,,,,,,,,,,
2012-06-04,27.2,27.65,26.44,26.9,26.737,-0.0296,35230300,,-1.5370168133206157,-0.8926255355097686,,31.128262121937297,-115877100.0,-0.0295804297328687,,-0.1569870097111868,,,,,,,,,,,,,,,
2012-06-05,26.7,27.76,25.75,25.869,25.712,-0.0383,42473400,,-1.7707260305513302,-1.068245634518081,,30.612427634133745,-158350500.0,-0.0383363877772374,,-0.1030176173033315,,,,,,,,,,,,,,,
2012-06-06,26.07,27.17,25.52,26.81,26.647,0.0364,61489200,,-1.8590654340164008,-1.226409594417745,,30.23476785945434,-96861300.0,0.0363643434971996,,-0.0489667725472001,,,,,,,,,,,,,,,
2012-06-07,27.0,27.35,26.15,26.31,26.15,-0.0186,26159500,,-1.94673801013272,-1.37047527756074,,29.84574234903012,-123020800.0,-0.0186512553007843,,-0.1111488783140721,,,,,,,,,,,,,,,
2012-06-08,26.55,27.76,26.44,27.1,26.935,0.03,38034000,,-1.930621219225192,-1.4825044658936304,29.9347471451876,29.56852879197963,-84986800.0,0.0300191204588911,,-0.022394018583043,,,,,,,,,,,,,,,
2012-06-11,27.18,28.07,26.835,27.005,26.841,-0.0034999999999999,28219600,,-1.903491297924706,-1.5667018322998456,29.7717000811218,29.308764145124428,-113206400.0,-0.0034898830517912,,0.0038897408086173,,,,,,,,,,,,,,,
2012-06-12,27.48,27.77,26.96,27.4,27.234,0.0146,15816800,,-1.8291930257043845,-1.6192000709807537,37.78005464480875,29.11116755987448,-97389600.0,0.0146417793673856,,0.0591941505911637,,,,,,,,,,,,,,,
2012-06-13,27.66,28.1,27.1,27.27,27.104,-0.0046999999999999,17102800,,-1.760506994469612,-1.6474614556785252,32.93408826945412,28.92000874464834,-114492400.0,-0.0047734449585078,,0.0171501482343228,,,,,,,,,,,,,,,
2012-06-14,27.65,28.32,27.38,28.29,28.118,0.0374,16855000,,-1.6057415056734818,-1.6391174656775167,32.89024478826178,28.843626959443736,-97637400.0,0.0374114521841795,,0.0752581261950287,,,,,,,,,,,,,,,
2012-06-15,28.505,30.1,28.35,30.014,29.832,0.0608999999999999,43563800,,-1.329458099856872,-1.5771855925133875,43.44376391982183,28.937757725211,-54073600.0,0.0609573938402447,,0.1075552255429739,,,,,,,,,,,,,,,
2012-06-18,29.955,32.08,29.41,31.41,31.219,0.0465,42978900,28.85855,-0.987202347722981,-1.4591889435553065,60.05195214105793,29.15501889423852,-11094700.0,0.0464936980423706,,0.1631086770239558,,,,,,,,,,,,,,,
2012-06-19,31.535,32.18,30.7,31.911,31.717,0.016,30849000,28.75325,-0.668076589239476,-1.3009664726921404,64.72602739726027,29.39901709478724,19754300.0,0.0159518242096159,0.0609573938402447,0.1646104134537709,-0.0622653224137421,,,,,,,,,,,,,,
2012-06-20,31.92,31.929,31.15,31.6,31.408,-0.0097,15553600,28.783050000000003,-0.4350854498094989,-1.1277902681156122,58.67062107466853,29.5903488000456,4200700.0,-0.0097424094334267,0.0609573938402447,0.1587957497048406,0.0193431130728287,,,,,,,,,,,,,,
2012-06-21,31.67,32.5,31.51,31.84,31.647,0.0076,21875300,28.7751,-0.2285187684918845,-0.9479359681908668,70.8185053380783,29.786220342898392,26076000.0,0.0076095262353539,0.0609573938402447,0.1255067928017639,-0.0049990567817393,,,,,,,,,,,,-0.07140111758270995,,
2012-06-22,32.41,33.45,32.06,33.05,32.849,0.038,74834000,28.776100000000003,0.0318114663693975,-0.7519864812788138,79.89630209352379,30.07791364357473,100910000.0,0.0379814832369576,0.0609573938402447,0.1011330115312414,0.0006092174601723,,,,,,,,,,,,0.027099831234583815,,
2012-06-25,32.86,33.02,31.55,32.06,31.865,-0.03,24352900,28.78355,0.1569156507607871,-0.5702060548708937,80.21805323642081,30.248112344186666,76557100.0,-0.029955249779293,0.0609573938402447,0.0206925269867708,0.0046979442552654,,,,,,,,,,,,0.03279255486386212,,
2012-06-26,32.69,33.44,32.5,33.1,32.899,0.0324,24858700,28.99525000000001,0.3356278675829713,-0.3890392703801207,80.40856031128408,30.500577835216507,101415800.0,0.0324493958889064,0.0609573938402447,0.0372670807453416,0.1477062619919764,,,,,,,,,,,,-0.029364281580310125,,
2012-06-27,32.46,32.9,31.9,32.23,32.034,-0.0263,28568000,29.196000000000005,0.4028168936677865,-0.2306680375705392,77.62960180315554,30.646618041386365,72847800.0,-0.0262925924800146,0.0609573938402447,0.0199312277126846,0.1432956208287235,,,,,,,,,,,,0.03729978559717484,,
2012-06-28,31.96,32.19,30.9,31.36,31.169,-0.027,17713300,29.28345,0.3818645136069705,-0.1081615273350373,69.73340790454887,30.69636870411147,55134500.0,-0.0270025597802334,0.0609573938402447,-0.0151041172938982,0.0594493541808294,,,,,,,,,,,,0.11753008895866035,,
2012-06-29,31.92,31.99,30.76,31.095,30.906,-0.0085,19526900,29.451149999999995,0.3401170418942847,-0.0185058134891729,68.65192254749013,30.716333589434186,35607600.0,-0.0084378709615323,0.0609573938402447,-0.0591494413832992,0.1217334494773518,,,,,,,,,,,,0.11242371248081673,,
2012-07-02,31.25,31.73,30.55,30.771,30.584,-0.0104,14122000,29.6435,0.2778463214140423,0.0407646134914701,65.47201182338813,30.70373039044045,21485600.0,-0.0104186889277162,0.0609573938402447,-0.0402008473246507,0.1438830085649101,,,,,,,,,,,,0.0505098572399727,,
2012-07-03,30.91,31.44,30.8,31.2,31.01,0.0139,8763600,29.9084,0.2598752860359141,0.0845867480003589,67.55979140442369,30.732898924684218,30249200.0,0.0139288516871567,0.0609573938402447,-0.0574181586066445,0.2060516490354698,,,,,,,,,,,,0.11004645760743315,,
2012-07-05,31.32,31.625,31.02,31.47,31.279,0.0087,10032100,30.14,0.26429256275064,0.1205279109504151,65.2307988821432,30.78490855090477,40281300.0,0.0086746210899708,0.0609573938402447,-0.023568708247487,0.1738281982962435,,,,,,,,,,,,0.15981598533866936,,
2012-07-06,31.44,31.9,31.26,31.73,31.537,0.0083,10945600,30.40935,0.2853227076097511,0.1534868702822823,59.55610357583231,30.85653630796146,51226900.0,0.0082483455353432,0.0609573938402447,0.0118066027142351,0.2060038240917783,,,,,,,,,,,,0.21651369010578714,,
2012-07-09,32.1,32.88,31.99,32.17,31.975,0.0139,17785200,30.66135,0.3334879469425615,0.1894870856143382,54.74159558454592,30.963056659584176,69012100.0,0.0138884484890764,0.0609573938402447,0.0345887529929465,0.1871171338407278,,,,,,,,,,,,0.1835103388749202,,
2012-07-10,32.43,32.48,31.16,31.47,31.279,-0.0218,14269500,30.88325,0.3119024455999764,0.2139701576114658,47.31946144430845,30.993146501528543,54742600.0,-0.0217670054730259,0.0609573938402447,0.0227243002877322,0.1653440631869154,,,,,,,,,,,,0.22275334608030595,,
2012-07-11,31.48,31.56,30.55,30.97,30.782,-0.0159,13030300,31.06065,0.2517895605526554,0.2215340381997038,46.25508494855228,30.973037310906776,41712300.0,-0.0158892547715719,0.0609573938402447,-0.0073524669461464,0.1302783285598883,,,,,,,,,,,,0.16127714869129384,,
2012-07-12,30.7,31.4,30.6,30.81,30.623,-0.0052,11300700,31.236600000000003,0.1891394134580011,0.2150551132513632,43.81493114278813,30.93970042415375,30411600.0,-0.0051653563771034,0.0609573938402447,-0.0209725374852136,0.1298332349468713,,,,,,,,,,,,0.14682761447039971,,
2012-07-13,31.04,31.07,30.56,30.72,30.533,-0.0029,8108300,31.357350000000004,0.1307196182874506,0.1981880142585807,33.840357242534225,30.900967050424818,22303300.0,-0.0029389674427717,0.0609573938402447,-0.0318356216507593,0.0858880432463191,,,,,,,,,,,,0.12444003818755967,,
2012-07-16,30.5,30.5,28.21,28.245,28.073,-0.0806,24672100,31.2694,-0.1127798750032909,0.1359944364062064,28.06063411247399,30.631636855146265,-2368800.0,-0.0805685651590083,0.0464936980423706,-0.1220328381548084,-0.0589635290962724,,,,,,,,,,,,0.12651269185360103,,
2012-07-17,28.48,28.59,27.15,28.09,27.919,-0.0055,30438600,31.1044,-0.3145554908293348,0.0458844509590982,17.9206390105643,30.37329048798948,-32807400.0,-0.0054856980016385,0.0379814832369576,-0.1074203139486555,-0.1057048592203465,,,,,,,,,,,,-0.0016003983213599415,,
2012-07-18,28.31,29.29,28.15,29.11,28.933,0.0363,16841800,30.9652,-0.388168232677895,-0.0409260857683004,30.40070787511061,30.23611996532381,-15965600.0,0.0363193524123357,0.0379814832369576,-0.0600675719576375,-0.0877762714001954,,,,,,,,,,,,-0.06412577098417804,,
2012-07-19,29.41,29.5,28.63,29.0,28.824,-0.0038,13685100,30.835999999999995,-0.4501136203634885,-0.122763592687338,33.612858141160046,30.101632349578686,-29650700.0,-0.0037673245083468,0.0379814832369576,-0.0587466936616268,-0.0822720326031584,,,,,,,,,,,,-0.07322463884173103,,
2012-07-20,29.0,29.47,28.72,28.76,28.585,-0.0083,11869100,30.6829,-0.5125823586315335,-0.2007273458761771,33.72598513532465,29.95719117342833,-41519800.0,-0.0082917013599778,0.0379814832369576,-0.063799823142174,-0.0967548266818338,,,,,,,,,,,,-0.09121291421004496,,
2012-07-23,28.12,29.0,28.01,28.75,28.575,-0.0003,12390700,30.4692,-0.5564814286861939,-0.2718781624381805,35.2691010412084,29.825553918816112,-53910500.0,-0.0003498338289312,0.0363193524123357,0.017881950628718,-0.1301105056470516,,,,,,,,,,,,-0.08988155883851245,,
2012-07-24,28.82,29.45,28.1,28.45,28.277,-0.0104,11539800,30.2898,-0.608305698060235,-0.3391636695625914,29.57704379016588,29.678072593214576,-65450300.0,-0.0104286964129483,0.0363193524123357,0.012822808839858,-0.1126000313823943,,,,,,,,,,,,-0.0970708123992795,,
2012-07-25,28.39,29.49,28.08,29.34,29.162,0.0313,17230200,30.10295,-0.5713782088454771,-0.3856065774191686,35.51389078965374,29.62892282243224,-48220100.0,0.0312975209534249,0.0363193524123357,0.0079148377285451,-0.1135900787257971,,,,,,,,,,,,-0.1391823190964716,,
2012-07-26,27.75,28.23,26.73,26.845,26.682,-0.085,64597400,29.83535,-0.7337697405564683,-0.4552392100466285,24.52513380207786,29.34826350601012,-112817500.0,-0.0850421781770798,0.0363193524123357,-0.0743130724396337,-0.167072485484173,,,,,,,,,,,,-0.08482661227051624,,
2012-07-27,23.19,24.54,22.28,23.705,23.561,-0.1169999999999999,123102300,29.45495,-1.1016061857368022,-0.5845126051846633,15.550278414674082,28.79709555305677,-235919800.0,-0.1169702421107862,0.0363193524123357,-0.1757565156550639,-0.2440886778529949,,,,,,,,,,,,-0.1889723091887292,,
2012-07-30,23.995,24.04,23.03,23.15,23.009,-0.0233999999999999,29285900,29.0601,-1.4212774042030247,-0.7518655649883357,15.735830294995012,28.24584835752756,-265205700.0,-0.0234285471754169,0.0363193524123357,-0.1947856517935258,-0.2555167281434025,,,,,,,,,,,,-0.2645002185178248,,
2012-07-31,23.37,23.37,21.61,21.71,21.578,-0.0622,56179400,28.6098,-1.7696890152041682,-0.9554302550315024,14.605445316105204,27.61081518062017,-321385100.0,-0.0621930548915642,0.0363193524123357,-0.2369063196237225,-0.2944676955270729,,,,,,,,,,,,-0.2617985819243479,,
2012-08-01,21.5,21.58,20.84,20.88,20.753,-0.0382,44604400,28.09695,-2.088305644732646,-1.182005332971731,13.893766461808596,26.957689925323013,-365989500.0,-0.0382333858559643,0.0363193524123357,-0.2883547081818804,-0.3307642695904547,,,,,,,,,,,,-0.30181841713583124,,
2012-08-02,20.77,20.84,19.82,20.04,19.918,-0.0401999999999999,56374500,27.5289,-2.380745389864842,-1.4217533443503534,13.175605356275568,26.28724326576844,-422364000.0,-0.0402351467257746,0.0363193524123357,-0.2535042350648376,-0.3632149365388919,,,,,,,,,,,,-0.3214425843578341,,
2012-08-03,20.36,22.16,19.9,21.09,20.962,0.0524,80647000,27.00015,-2.4994517954257987,-1.6372930345654426,22.643687004693376,25.780077240457164,-341717000.0,0.0524149010944874,0.0524149010944874,-0.1103094096175884,-0.3353204172876304,,,,,,,,,,,,-0.3576910673976137,,
2012-08-06,21.39,22.15,21.3,21.92,21.787,0.0394,27778900,26.49075,-2.498159642569842,-1.809466356166323,27.568042142230013,25.39978416993744,-313938100.0,0.0393569315904971,0.0524149010944874,-0.0531096527445782,-0.3186239249413605,,,,,,,,,,,,-0.329837910419131,,
2012-08-07,22.2,22.45,20.5,20.72,20.594,-0.0547,36782900,25.9565,-2.5638463075109605,-1.9603423464352503,19.888784574276016,24.942090439467204,-350721000.0,-0.0547574241520171,0.0524149010944874,-0.0456020020391138,-0.3416029924230314,,,,,,,,,,,,-0.3091606684212195,,
2012-08-08,20.71,21.15,20.22,20.72,20.594,,29537400,25.4471,-2.5860925970515964,-2.08549239655852,20.04658611151549,24.527986588089373,-350721000.0,0.0,0.0524149010944874,-0.0076615429094588,-0.3309726463517639,,,,,,,,,,,,-0.35593432369038314,,
2012-08-09,20.75,21.17,20.61,21.01,20.882,0.0139999999999999,15610700,24.960050000000003,-2.551076526497379,-2.178609222546292,22.064263436570684,24.1807497701761,-335110300.0,0.0139846557249685,0.0524149010944874,0.0483984335776686,-0.3180942428893315,,,,,,,,,,,,-0.3416029924230314,,
2012-08-10,21.41,21.82,21.13,21.807,21.675,0.0379,25794700,24.51715,-2.4313109267583464,-2.229149563388703,26.32120796156485,23.94210693492123,-309315600.0,0.0379752897232066,0.0524149010944874,0.0340139299685144,-0.2901123374709331,,,,,,,,,,,,-0.3216165291404067,,
2012-08-13,22.15,22.45,21.4,21.6,21.469,-0.0095,24973100,24.186950000000003,-2.3262032810738305,-2.2485603069257283,26.48846525763227,23.70657294111921,-334288700.0,-0.0095040369088811,0.0524149010944874,-0.0145958599164638,-0.2352438285897481,,,,,,,,,,,,-0.29219867419913137,,
